ID,Fraction_ID,Envelope_num,Mass,MonoMz,Charge,Intensity,mzLo,mzHi,rtLo,rtHi,color,opacity,promex_score
13,0,14,10098.3,1010.83,10,9.88053e+08,1010.83,1012.34,40.0003,40.7978,#FF0000,0.1,43.047
13,0,15,10098.3,919.031,11,1.61146e+09,919.022,920.406,39.9263,40.748,#FF0000,0.1,43.047
13,0,14,10098.3,842.529,12,1.36249e+09,842.512,843.798,39.8738,40.6327,#FF0000,0.1,43.047
13,0,14,10098.3,777.796,13,1.02701e+09,777.773,778.976,39.9263,40.7052,#FF0000,0.1,43.047
13,0,10,10098.3,722.311,14,4.6044e+08,722.283,723.414,40.065,40.6327,#FF0000,0.1,43.047
13,0,2,10098.3,674.224,15,2.14334e+07,674.191,675.26,40.302,40.3978,#FF0000,0.1,43.047
14,0,1,14917.9,1357.18,11,1.80492e+07,1357.26,1358.92,42.248,42.248,#FF0000,0.1,36.4314
14,0,4,14917.9,1244.16,12,1.26797e+08,1244.23,1245.77,42.1192,42.2973,#FF0000,0.1,36.4314
14,0,8,14917.9,1148.54,13,3.47392e+08,1148.59,1150.02,42.1192,42.754,#FF0000,0.1,36.4314
14,0,11,14917.9,1066.57,14,5.13351e+08,1066.61,1067.96,42.071,42.9277,#FF0000,0.1,36.4314
14,0,16,14917.9,995.532,15,9.31325e+08,995.566,996.835,42.0208,43.0362,#FF0000,0.1,36.4314
14,0,16,14917.9,933.374,16,1.07641e+09,933.4,934.602,42.071,43.0858,#FF0000,0.1,36.4314
14,0,13,14917.9,878.529,17,8.66635e+08,878.547,879.691,42.071,43.0362,#FF0000,0.1,36.4314
14,0,12,14917.9,829.778,18,5.89332e+08,829.79,830.881,42.071,42.754,#FF0000,0.1,36.4314
14,0,8,14917.9,786.159,19,3.59083e+08,786.164,787.208,42.1192,42.6535,#FF0000,0.1,36.4314
14,0,5,14917.9,746.901,20,1.46126e+08,746.901,747.903,42.1192,42.3715,#FF0000,0.1,36.4314
14,0,1,14917.9,711.382,21,1.3753e+07,711.378,712.342,42.248,42.248,#FF0000,0.1,36.4314
15,0,4,12160.3,1738.2,7,3.22462e+07,1738.24,1740.59,60.1722,61.4588,#FF0000,0.1,53.2884
15,0,30,12160.3,1521.05,8,7.16069e+08,1521.07,1523.15,59.9575,62.1167,#FF0000,0.1,53.2884
15,0,33,12160.3,1352.16,9,1.34938e+09,1352.17,1354.04,59.9575,62.4573,#FF0000,0.1,53.2884
15,0,34,12160.3,1217.04,10,1.76395e+09,1217.04,1218.74,59.9575,62.3905,#FF0000,0.1,53.2884
15,0,36,12160.3,1106.49,11,2.21142e+09,1106.48,1108.05,59.9575,62.3905,#FF0000,0.1,53.2884
15,0,36,12160.3,1014.37,12,1.90944e+09,1014.35,1015.8,59.9575,62.6032,#FF0000,0.1,53.2884
15,0,36,12160.3,936.418,13,1.252e+09,936.395,937.751,59.9575,62.4573,#FF0000,0.1,53.2884
15,0,32,12160.3,869.602,14,8.18075e+08,869.574,870.848,59.9575,62.4573,#FF0000,0.1,53.2884
15,0,25,12160.3,811.696,15,5.58601e+08,811.663,812.865,60.0315,62.4573,#FF0000,0.1,53.2884
15,0,17,12160.3,761.028,16,2.84445e+08,760.991,762.131,60.0315,61.3105,#FF0000,0.1,53.2884
15,0,4,12160.3,716.321,17,4.3443e+07,716.28,717.364,60.1058,60.763,#FF0000,0.1,53.2884
16,0,4,9233.93,1320.14,7,4.65125e+07,1320.18,1322.1,47.3788,47.9672,#FF0000,0.1,45.5462
